feedback_id,date,source,player_id,player_segment,platform,game_version,game_area_hint,player_feedback
FB-076,2026-05-21 19:01,Google Form,P36896,Light Spender,Android,v1.8.1,,UI ใหม่ดูสะอาดขึ้น เข้าใจง่ายกว่าเดิม ขอบคุณครับ/ค่ะ
FB-077,2026-05-05 19:00,Play Store Review,P24408,F2P,iOS,v1.9.0,,เสียงเอฟเฟกต์หายหลังจบการต่อสู้ ต้อง restart เกมถึงกลับมา รบกวนช่วยดูให้หน่อย
FB-078,2026-05-01 05:16,Google Form,P72422,Guild Leader,iOS,v1.8.0,,เจอบ่อยมากว่า หลังอัปเดตล่าสุดเกมค้างตอนเข้าหน้า Story Chapter ต้องปิดเปิดใหม่หลายรอบ รบกวนช่วยดูให้หน่อย
FB-079,2026-05-02 23:50,Play Store Review,P62640,New Player,Android,v1.8.0,,ตัวละคร Kai แรงเกินไป เจอใน arena แล้วแทบไม่มีทางสู้ เพราะกระทบการเล่นพอสมควร
FB-080,2026-05-05 02:08,Play Store Review,P79541,Whale,PC Emulator,v1.9.1,,ระบบแจ้งเตือนเควสต์ขึ้นซ้ำ ๆ ทั้งที่เคลียร์ไปแล้ว เพราะกระทบการเล่นพอสมควร
FB-081,2026-05-21 17:46,App Store Review,P62262,Casual Player,Android,v1.8.1,Gacha Banner,อยากให้มีปฏิทิน event ล่วงหน้า จะได้วางแผนใช้ทรัพยากร ขอบคุณครับ/ค่ะ
FB-082,2026-05-05 21:59,Community Post,P58843,Returning Player,iOS,v1.8.0,Event Shop,เกมแลคมากในด่านบอสใหม่ เฟรมตกจนกดหลบไม่ทัน รบกวนช่วยดูให้หน่อย
FB-083,2026-05-14 23:03,Play Store Review,P37884,Mid Spender,PC Emulator,v1.9.0,Character Upgrade,อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก ขอบคุณครับ/ค่ะ
FB-084,2026-05-09 18:14,In-game Survey,P50499,New Player,PC Emulator,v1.9.0,Raid Boss,เวลาจัด event สั้นเกินไป คนทำงานตามเก็บของไม่ทัน
FB-085,2026-05-03 04:47,Google Form,P30631,Light Spender,iOS,v1.9.1,Story Chapter,อยากฝากทีมงานว่า บอสใหม่มีสกิล one shot บ่อยเกิน รู้สึกไม่แฟร์ ถ้าแก้ได้จะดีมาก
FB-086,2026-05-02 21:05,Play Store Review,P45804,Guild Leader,Android,v1.9.1,Daily Mission,ตัวหนังสือในหน้ารายละเอียดสกิลเล็ก อ่านยากบนมือถือ เพราะกระทบการเล่นพอสมควร
FB-087,2026-05-22 18:31,Play Store Review,P17180,Light Spender,iOS,v1.9.1,,อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก ขอบคุณครับ/ค่ะ
FB-088,2026-05-04 00:31,In-game Survey,P75570,F2P,iOS,v1.9.1,Inventory,ระบบ auto battle ใช้สกิลแปลก ๆ ทำให้แพ้ทั้งที่ power ถึง รบกวนช่วยดูให้หน่อย
FB-089,2026-05-14 00:29,Discord,P64747,Guild Leader,Android,v1.9.1,,อยากฝากทีมงานว่า ได้ตัวซ้ำบ่อยมาก แต่ระบบแลกชิ้นส่วนยังไม่ค่อยคุ้ม
FB-090,2026-05-15 22:58,Customer Support,P62487,Guild Leader,iOS,v1.8.0,Mail Box,เควสต์รายสัปดาห์ให้แต้มไม่พอแลกของหลัก เพราะกระทบการเล่นพอสมควร
FB-091,2026-05-03 16:40,Discord,P40968,Light Spender,PC Emulator,v1.9.0,Guild,บางทีมใน PvP ชนะง่ายเกินไปจน meta แคบมาก
FB-092,2026-05-06 20:31,Community Post,P92210,Casual Player,PC Emulator,v1.9.0,,อยากฝากทีมงานว่า ทองในเกมขาดตลอด อัปเกรดตัวละครแทบไม่พอ
FB-093,2026-05-19 01:22,Discord,P47627,Casual Player,Android,v1.9.1,Story Chapter,อยากให้ปรับ balance ของอาวุธบางชิ้น เพราะแรงต่างกันเกิน รบกวนช่วยดูให้หน่อย
FB-094,2026-05-15 18:35,Google Form,P29773,Light Spender,Android,v1.9.0,Character Upgrade,เจอบ่อยมากว่า ขอตัวละครสายซัพพอร์ตใหม่ ๆ บ้าง ตอนนี้มีแต่ดาเมจ ถ้าแก้ได้จะดีมาก
FB-095,2026-05-02 07:45,Community Post,P60779,F2P,Android,v1.9.0,Raid Boss,อยากฝากทีมงานว่า อันดับ event แข่งขันหนักมาก ผู้เล่นทั่วไปสู้ยาก
FB-096,2026-05-18 21:24,Play Store Review,P55851,F2P,Android,v1.9.0,Guild,ด่าน Story Chapter ยากเกินไปสำหรับคนที่เพิ่งเริ่มเล่นไม่ถึงเดือน
FB-097,2026-05-10 17:24,Customer Support,P57526,Returning Player,iOS,v1.9.1,Arena,อยากฝากทีมงานว่า โปรโมชันรายเดือนคุ้มดี แต่หน้า shop อธิบายสิทธิ์ไม่ชัด
FB-098,2026-05-05 04:04,Play Store Review,P91006,New Player,iOS,v1.9.0,,ระบบ auto battle ใช้สกิลแปลก ๆ ทำให้แพ้ทั้งที่ power ถึง
FB-099,2026-05-15 01:26,Customer Support,P40671,Light Spender,PC Emulator,v1.9.1,Gacha Banner,เจอบ่อยมากว่า บอสใหม่มีสกิล one shot บ่อยเกิน รู้สึกไม่แฟร์
FB-100,2026-05-15 14:49,Play Store Review,P89254,Guild Leader,Android,v1.8.1,,อยากฝากทีมงานว่า อยากให้ปรับ balance ของอาวุธบางชิ้น เพราะแรงต่างกันเกิน เพราะกระทบการเล่นพอสมควร
FB-101,2026-05-17 03:18,Discord,P29313,Mid Spender,iOS,v1.9.1,,ถ้าไม่เติมเงินแทบตามคนอื่นไม่ทัน เพราะทรัพยากรแจกน้อย ขอบคุณครับ/ค่ะ
FB-102,2026-05-02 12:32,Customer Support,P51770,Guild Leader,iOS,v1.8.0,Arena,เสียงเอฟเฟกต์หายหลังจบการต่อสู้ ต้อง restart เกมถึงกลับมา ถ้าแก้ได้จะดีมาก
FB-103,2026-05-16 22:53,Facebook Comment,P12490,Casual Player,PC Emulator,v1.9.1,Event Shop,ตอนจัดทีมอยากเห็น stat เปรียบเทียบก่อนและหลังเปลี่ยนอุปกรณ์ รบกวนช่วยดูให้หน่อย
FB-104,2026-05-04 01:15,In-game Survey,P88215,Casual Player,PC Emulator,v1.8.0,Gacha Banner,ปุ่มย้อนกลับบางหน้าพาออกไปหน้าแรกเลย ทำให้เสียเวลา รบกวนช่วยดูให้หน่อย
FB-105,2026-05-20 11:15,In-game Survey,P81313,Returning Player,iOS,v1.9.0,Character Upgrade,ส่วนตัวคิดว่า Banner ใหม่ออกถี่เกินไป เก็บเพชรไม่ทันเลย
FB-106,2026-05-13 11:16,Google Form,P86271,Returning Player,Android,v1.9.0,Event Shop,Event รอบนี้ธีมน่ารักดี แต่ภารกิจซ้ำเยอะไปหน่อย ขอบคุณครับ/ค่ะ
FB-107,2026-05-06 21:29,Community Post,P14847,F2P,PC Emulator,v1.8.1,Gacha Banner,ด่าน Story Chapter ยากเกินไปสำหรับคนที่เพิ่งเริ่มเล่นไม่ถึงเดือน ขอบคุณครับ/ค่ะ
FB-108,2026-05-13 17:30,Play Store Review,P95948,Light Spender,iOS,v1.9.0,Arena,เสียงเอฟเฟกต์หายหลังจบการต่อสู้ ต้อง restart เกมถึงกลับมา เพราะกระทบการเล่นพอสมควร
FB-109,2026-05-13 10:11,Community Post,P78062,Casual Player,PC Emulator,v1.9.0,,อยากฝากทีมงานว่า โหลดแพตช์ช้ามาก ทั้งที่เน็ตปกติ ใช้เวลานานกว่าทุกอัปเดตที่ผ่านมา ถ้าแก้ได้จะดีมาก
FB-110,2026-05-18 09:20,Discord,P65851,Whale,iOS,v1.9.0,Mail Box,เจอบ่อยมากว่า เกมแลคมากในด่านบอสใหม่ เฟรมตกจนกดหลบไม่ทัน
FB-111,2026-05-14 08:40,Google Form,P14081,Guild Leader,iOS,v1.9.0,Guild,อยากให้ปรับ balance ของอาวุธบางชิ้น เพราะแรงต่างกันเกิน เพราะกระทบการเล่นพอสมควร
FB-112,2026-05-21 11:23,In-game Survey,P58760,New Player,PC Emulator,v1.8.1,Story Chapter,รู้สึกว่าเกมเริ่ม pay to win มากขึ้นหลังอัปเดตนี้
FB-113,2026-05-13 10:41,Play Store Review,P75410,Returning Player,iOS,v1.8.0,,เจอบ่อยมากว่า ตัวละคร Rex แรงเกินไป เจอใน arena แล้วแทบไม่มีทางสู้ รบกวนช่วยดูให้หน่อย
FB-114,2026-05-07 19:18,Community Post,P69250,Returning Player,iOS,v1.8.1,,อยากฝากทีมงานว่า ขอตัวละครสายซัพพอร์ตใหม่ ๆ บ้าง ตอนนี้มีแต่ดาเมจ ถ้าแก้ได้จะดีมาก
FB-115,2026-05-03 17:34,Play Store Review,P76683,F2P,Android,v1.8.1,,อยากให้ pity ชัดเจนกว่านี้ ตอนนี้อ่านเงื่อนไขแล้วงง ขอบคุณครับ/ค่ะ
FB-116,2026-05-12 17:36,Customer Support,P72739,F2P,Android,v1.8.0,Daily Mission,ส่วนตัวคิดว่า รางวัล login รอบนี้ดูธรรมดามาก อยากให้มีเพชรหรือ ticket เพิ่ม
FB-117,2026-05-15 14:43,Customer Support,P26274,F2P,iOS,v1.8.1,Arena,อยากฝากทีมงานว่า ตัวหนังสือในหน้ารายละเอียดสกิลเล็ก อ่านยากบนมือถือ
FB-118,2026-05-17 09:54,Discord,P90534,Light Spender,Android,v1.9.0,Raid Boss,บอสใหม่มีสกิล one shot บ่อยเกิน รู้สึกไม่แฟร์ รบกวนช่วยดูให้หน่อย
FB-119,2026-05-22 19:46,Customer Support,P44688,New Player,PC Emulator,v1.8.0,Mail Box,เนื้อเรื่อง event สนุก แต่อยากให้มีเสียงพากย์เพิ่ม
FB-120,2026-05-21 17:18,Play Store Review,P17852,Light Spender,Android,v1.9.1,Event Shop,ปุ่มย้อนกลับบางหน้าพาออกไปหน้าแรกเลย ทำให้เสียเวลา ถ้าแก้ได้จะดีมาก
FB-121,2026-05-11 22:20,Customer Support,P51827,F2P,Android,v1.9.0,Event Shop,เจอบ่อยมากว่า อยากให้ปรับ balance ของอาวุธบางชิ้น เพราะแรงต่างกันเกิน
FB-122,2026-05-10 12:55,In-game Survey,P50988,F2P,iOS,v1.9.0,,ระบบแจ้งเตือนเควสต์ขึ้นซ้ำ ๆ ทั้งที่เคลียร์ไปแล้ว
FB-123,2026-05-03 12:32,Community Post,P74866,Light Spender,iOS,v1.9.0,Raid Boss,ส่วนตัวคิดว่า ระบบแจ้งเตือนเควสต์ขึ้นซ้ำ ๆ ทั้งที่เคลียร์ไปแล้ว
